1, 28916, Pitch_bend_c, 0, 1831
1, 28942, Pitch_bend_c, 0, 2916
1, 28968, Pitch_bend_c, 0, 4192
1, 28993, Pitch_bend_c, 0, 5614
1, 29019, Pitch_bend_c, 0, 6987
1, 29044, Pitch_bend_c, 0, 8192
1, 30862, Note_on_c, 0, 56, 0
1, 30939, Pitch_bend_c, 0, 6987
1, 30964, Pitch_bend_c, 0, 4337
1, 30990, Pitch_bend_c, 0, 1566
1, 31016, Pitch_bend_c, 0, 0
1, 31348, Note_on_c, 0, 56, 51
1, 31860, Pitch_bend_c, 0, 940
1, 31886, Pitch_bend_c, 0, 2651
1, 31912, Pitch_bend_c, 0, 4602
1, 31937, Pitch_bend_c, 0, 6794
1, 31963, Pitch_bend_c, 0, 8192
1, 32971, Note_on_c, 0, 58, 61
1, 32992, Note_on_c, 0, 59, 78
1, 33158, Note_on_c, 0, 56, 0
1, 33185, Note_on_c, 0, 58, 0
1, 35128, Note_on_c, 0, 58, 72
1, 35313, Note_on_c, 0, 59, 0
1, 36278, Note_on_c, 0, 58, 0
1, 36585, Note_on_c, 0, 58, 80
1, 36772, Note_on_c, 0, 60, 66
1, 36897, Note_on_c, 0, 58, 0
1, 38638, Note_on_c, 0, 60, 0
1, 38804, Note_on_c, 0, 60, 78
1, 40337, Note_on_c, 0, 60, 0
1, 40436, Pitch_bend_c, 0, 8480
1, 40462, Pitch_bend_c, 0, 9018
1, 40488, Pitch_bend_c, 0, 9576
1, 40513, Pitch_bend_c, 0, 10011
1, 40539, Pitch_bend_c, 0, 10156
1, 40566, Note_on_c, 0, 60, 78
1, 40588, Pitch_bend_c, 0, 9949
1, 40616, Pitch_bend_c, 0, 9473
1, 40641, Pitch_bend_c, 0, 8770
1, 40667, Pitch_bend_c, 0, 8192
1, 41390, Note_on_c, 0, 60, 0
1, 41460, Pitch_bend_c, 0, 8501
1, 41486, Pitch_bend_c, 0, 9101
1, 41512, Pitch_bend_c, 0, 9576
1, 41537, Pitch_bend_c, 0, 9969
1, 41553, Note_on_c, 0, 60, 80
1, 41568, Pitch_bend_c, 0, 10073
1, 41614, Pitch_bend_c, 0, 9721
1, 41640, Pitch_bend_c, 0, 9080
1, 41664, Pitch_bend_c, 0, 8192
