NoteNr,0
36.0,2
37.0,6
38.0,26
39.0,58
40.0,476
41.0,3384
42.0,6152
43.0,3160
44.0,878
45.0,944
46.0,1252
47.0,648
48.0,320
49.0,698
50.0,426
51.0,380
52.0,602
53.0,372
54.0,638
55.0,182
56.0,378
57.0,88
58.0,212
59.0,132
60.0,272
61.0,612
62.0,6918
63.0,1508
64.0,2030
65.0,900
66.0,1470
67.0,2374
68.0,1482
69.0,6098
70.0,5366
71.0,2568
72.0,924
73.0,650
74.0,1669
75.0,990
76.0,2488
77.0,1806
78.0,3122
79.0,2444
80.0,1236
81.0,4406
82.0,806
83.0,4110
84.0,1678
85.0,2086
86.0,1750
87.0,1108
88.0,3416
89.0,1574
90.0,5556
91.0,1976
92.0,2332
93.0,834
94.0,1150
95.0,3162
96.0,2046
97.0,1432
98.0,792
99.0,902
100.0,1610
101.0,1030
102.0,2320
103.0,1588
